timestamp,pitch_hz,confidence,voiced
0.0080,1980.95,0.1328,false
0.0240,1979.69,0.1738,false
0.0400,1981.18,0.1893,false
0.0560,1962.39,0.1468,false
0.0720,1915.90,0.1450,false
0.0880,991.86,0.1404,false
0.1040,85.93,0.1375,false
0.1200,84.86,0.2919,false
0.1360,84.34,0.3447,false
0.1520,83.72,0.3475,false
0.1680,83.63,0.2418,false
0.1840,166.13,0.2761,false
0.2000,165.72,0.4558,false
0.2160,165.56,0.6308,false
0.2320,165.44,0.7138,false
0.2480,165.37,0.7837,false
0.2640,165.35,0.7630,false
0.2800,165.30,0.7260,false
0.2960,165.16,0.5225,false
0.3120,326.40,0.3395,false
0.3280,320.44,0.1812,false
0.3440,129.82,0.2744,false
0.3600,131.32,0.8541,true
0.3760,131.42,0.9973,true
0.3920,131.42,0.9998,true
0.4080,131.42,1.0000,true
0.4240,131.42,1.0000,true
0.4400,131.42,1.0000,true
0.4560,131.42,1.0000,true
0.4720,131.42,1.0000,true
0.4880,131.42,1.0000,true
0.5040,131.42,1.0000,true
0.5200,131.42,1.0000,true
0.5360,131.42,1.0000,true
0.5520,131.42,1.0000,true
0.5680,131.42,1.0000,true
0.5840,131.42,1.0000,true
0.6000,131.42,1.0000,true
0.6160,131.42,1.0000,true
0.6320,131.42,0.9999,true
0.6480,131.42,0.9990,true
0.6640,131.42,0.9959,true
0.6800,131.42,0.9847,true
0.6960,131.42,0.9528,true
0.7120,131.42,0.9062,true
0.7280,131.42,0.8562,true
0.7440,131.41,0.8512,true
0.7600,131.41,0.8598,true
0.7760,131.41,0.8253,true
0.7920,131.41,0.8020,true
0.8080,131.41,0.7883,false
0.8240,131.41,0.7907,false
0.8400,131.40,0.7601,false
0.8560,131.40,0.7987,false
0.8720,131.40,0.8265,true
0.8880,131.40,0.8766,true
0.9040,131.39,0.9266,true
0.9200,131.39,0.9450,true
0.9360,131.40,0.9372,true
0.9520,131.41,0.9085,true
0.9680,131.41,0.8697,true
0.9840,131.42,0.8294,true
1.0000,131.42,0.7838,false
1.0160,131.42,0.7084,false
1.0320,131.43,0.6626,false
1.0480,131.45,0.5638,false
1.0640,131.50,0.4459,false
1.0800,195.92,0.4176,false
1.0960,131.53,0.4021,false
1.1120,131.56,0.3528,false
1.1280,195.69,0.4377,false
1.1440,195.69,0.4198,false
1.1600,195.65,0.3034,false
1.1760,64.85,0.3752,false
1.1920,64.85,0.5092,false
1.2080,64.85,0.4916,false
1.2240,64.85,0.3531,false
1.2400,131.32,0.3357,false
1.2560,131.33,0.3428,false
1.2720,131.40,0.4113,false
1.2880,131.42,0.4073,false
1.3040,131.44,0.3925,false
1.3200,131.45,0.4522,false
1.3360,131.49,0.4593,false
1.3520,131.48,0.5104,false
1.3680,131.45,0.5421,false
1.3840,131.45,0.5623,false
1.4000,131.45,0.6004,false
1.4160,131.44,0.6105,false
1.4320,131.43,0.6114,false
1.4480,131.43,0.6902,false
1.4640,131.42,0.8231,true
1.4800,131.42,0.8654,true
1.4960,131.42,0.9270,true
1.5120,131.42,0.9357,true
1.5280,131.43,0.9005,true
1.5440,131.42,0.8460,true
1.5600,131.43,0.8524,true
1.5760,131.43,0.9052,true
1.5920,131.43,0.9339,true
1.6080,131.43,0.9204,true
1.6240,131.44,0.8874,true
1.6400,131.44,0.8085,true
1.6560,131.45,0.8137,true
1.6720,131.45,0.8766,true
1.6880,131.45,0.9132,true
1.7040,131.45,0.9171,true
1.7200,131.44,0.8949,true
1.7360,131.44,0.9202,true
1.7520,131.44,0.9509,true
1.7680,131.45,0.9594,true
1.7840,131.47,0.9139,true
1.8000,131.50,0.8637,true
1.8160,131.52,0.8866,true
1.8320,131.46,0.8986,true
1.8480,131.43,0.8914,true
1.8640,131.42,0.9003,true
1.8800,131.43,0.8852,true
1.8960,131.44,0.8623,true
1.9120,131.44,0.8055,true
1.9280,131.45,0.7245,false
1.9440,131.47,0.6860,false
1.9600,131.46,0.6960,false
1.9760,131.46,0.6185,false
1.9920,131.49,0.4658,false
2.0080,131.61,0.4185,false
2.0240,131.71,0.4207,false
2.0400,64.86,0.4585,false
2.0560,131.50,0.4566,false
2.0720,131.42,0.5897,false
2.0880,131.41,0.6827,false
2.1040,131.41,0.7084,false
2.1200,131.41,0.7174,false
2.1360,131.40,0.7428,false
2.1520,131.38,0.7581,false
2.1680,131.40,0.8322,true
2.1840,131.41,0.8862,true
2.2000,131.42,0.9110,true
2.2160,131.42,0.9237,true
2.2320,131.42,0.9297,true
2.2480,131.42,0.9383,true
2.2640,131.42,0.9198,true
2.2800,131.42,0.8730,true
2.2960,131.41,0.7704,false
2.3120,131.41,0.6581,false
2.3280,131.42,0.5501,false
2.3440,131.42,0.5266,false
2.3600,131.39,0.3961,false
2.3760,196.20,0.4837,false
2.3920,196.22,0.5635,false
2.4080,196.23,0.4641,false
2.4240,196.22,0.3653,false
2.4400,196.21,0.3547,false
2.4560,196.20,0.4306,false
2.4720,196.19,0.5486,false
2.4880,196.20,0.5902,false
2.5040,196.17,0.4676,false
2.5200,131.42,0.4247,false
2.5360,131.50,0.4482,false
2.5520,131.51,0.4330,false
2.5680,131.53,0.3660,false
2.5840,131.63,0.3859,false
2.6000,131.58,0.5100,false
2.6160,131.56,0.5871,false
2.6320,131.55,0.6694,false
2.6480,131.49,0.7341,false
2.6640,131.43,0.6997,false
2.6800,131.33,0.5901,false
2.6960,131.10,0.5346,false
2.7120,131.00,0.4625,false
2.7280,130.83,0.3606,false
2.7440,196.13,0.3984,false
2.7600,196.09,0.4564,false
2.7760,196.10,0.5996,false
2.7920,196.05,0.5801,false
2.8080,195.95,0.4521,false
2.8240,131.49,0.4565,false
2.8400,131.50,0.5425,false
2.8560,131.48,0.6719,false
2.8720,131.49,0.6784,false
2.8880,131.48,0.7041,false
2.9040,131.45,0.6670,false
2.9200,490.58,0.4224,false
2.9360,490.65,0.8645,false
2.9520,490.65,0.9074,false
2.9680,490.64,0.8066,false
2.9840,490.60,0.5574,false
3.0000,247.19,0.5120,false
3.0160,490.61,0.5024,false
3.0320,490.60,0.6143,false
3.0480,490.54,0.6442,false
3.0640,490.54,0.6587,false
3.0800,246.93,0.5581,false
3.0960,246.93,0.7912,false
3.1120,246.94,0.8409,true
