p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,names
1,0,1,1,0,1,1,1,0,1,1,1,"[""Rang Malhar""]"
1,0,1,1,0,1,0,1,0,0,1,0,"[""Gaudgiri Malhar, Nayaki Kanada, Suha Kanada""]"
1,0,1,1,0,1,0,1,0,0,0,1,"[""Rangeshwari""]"
1,0,1,1,0,1,0,1,1,0,1,0,"[""Adana, Darbari, Jaunpuri, Jungala, Kaunsi Kanada, Sampurna Malkauns, Asavari (shuddha Re)""]"
1,0,1,1,0,1,0,1,1,0,1,1,"[""Chandrakaushiki""]"
1,0,1,1,0,1,0,1,1,0,0,1,"[""Kirwani""]"
1,0,1,1,0,1,0,1,0,1,1,0,"[""Bageshri, Bhimpalasi, Desi, Dhanashree, Hussaini Kanada, Kafi, Mudriki Kanada, Raisa Kanada, Shahana""]"
1,0,1,1,0,1,0,1,0,1,1,1,"[""Bageshri Bahar, Bahar, Barwa, Hussaini Todi, Lanka Dahan Sarang, Miyan ki Malhar, Sindhura, Sughrai""]"
1,0,1,1,0,1,0,1,0,1,0,1,"[""Patdeep""]"
1,0,1,1,0,1,0,0,0,1,0,0,"[""Abhogi""]"
1,0,1,1,0,0,1,1,1,0,0,1,"[""Simhendra Madhyamam""]"
1,0,1,1,0,0,1,1,0,1,0,0,"[""Shivawanti, Vijayanagari""]"
1,0,1,1,0,0,1,1,0,1,1,0,"[""Hemavati, Madhukant""]"
1,0,1,1,0,0,1,1,0,1,1,1,"[""Tanseni Madhuvanti""]"
1,0,1,1,0,0,1,1,0,1,0,1,"[""Anjani Kalyan, Madhuvanti""]"
1,0,1,1,0,0,0,1,0,1,0,0,"[""Shivranjani""]"
1,0,1,1,0,0,0,1,0,1,1,0,"[""Manavi""]"
1,0,1,0,1,1,1,1,0,1,1,1,"[""Chandni Kedar, Manj Khamaj, Medhavi, Nat Bihag, Pancham se Gara, Pancham se Pilu, Saraswati Kedar, Shuddha Chaya""]"
1,0,1,0,1,1,1,1,0,1,0,1,"[""Bihag, Chayanat, Gaud Sarang, Hameer, Kamod, Khem Kalyan, Lakshmi Kalyan, Maru Bihag, Nand, Pat Bihag, Sanjh Saravali, Shyam Kalyan""]"
1,0,1,0,1,1,0,1,1,0,1,0,"[""Charukeshi""]"
1,0,1,0,1,1,0,1,1,0,0,1,"[""Nat Bhairav""]"
1,0,1,0,1,1,0,1,0,1,1,0,"[""Gaoti, Jhinjhoti, Kalashri, Kambhoji, Khamaj, Khambavati, Sakh""]"
1,0,1,0,1,1,0,1,0,1,1,1,"[""Alhaiya Bilawal, Arun Malhar, Bihagara, Bihagda, Champak, Deepak, Des Malhar, Desh, Devgiri Bilawal, Gaud Malhar, Kukubh Bilawal, Nat Kamod, Shukla Bilawal, Sorath, Tilak Malhar""]"
1,0,1,0,1,1,0,1,0,1,0,1,"[""Bilawal, Bihari, Chaya Malhar, Dagori, Gagan Vihang, Hem Bihag, Hemant, Maluha, Mand, Manjari Bihag, Nat, Savani, Swanandi, Tilak Kamod""]"
1,0,1,0,1,1,0,0,1,0,1,0,"[""Imratkauns""]"
