raga,tonic,tonic_name,salience,fit_score,primary_score,match_mass,extra_mass,observed_note_score,loglike_norm,raga_size,match_diff,complexity_pen,rank
Basant Mukhari,2,D,537,262.862795948313,0.5418483612322402,0.9253059502039664,0.07469404979603356,0.33573214923611994,0.0,7,1,0.16666666666666666,36
"Bhairav, Gauri",2,D,537,245.18577176975054,0.5418483612322402,0.9141932761288504,0.08580672387114963,0.33170009697256664,0.0,7,1,0.16666666666666666,37
Prabhateshwari,2,D,537,241.82937477382103,0.5418483612322402,0.9120832747221828,0.08791672527781724,0.33093451742885405,0.0,7,1,0.16666666666666666,38
Pilu,3,D#,3200,236.18645351440497,0.33577155718103785,0.9644113096075395,0.03558869039246049,0.24494462307904946,0.0,10,2,0.4166666666666667,39
Kaushik Dhwani,3,D#,3200,234.508518674791,0.29638486425657595,0.8549725699817126,0.14502743001828744,0.4342979635573109,0.010975172812894507,5,3,0.0,40
Lalit,2,D,537,226.38994859254498,0.5418483612322402,0.9023772682515118,0.09762273174848823,0.32741285152777583,0.0,7,1,0.16666666666666666,41
Jogiya,2,D,537,226.22575992378404,0.5418483612322402,0.9119426079617381,0.0880573920382619,0.3860307252580409,0.0,6,2,0.08333333333333333,42
Rageshri,10,A#,512,224.15882787592227,0.33577155718103785,0.9112392741595153,0.08876072584048467,0.3857329998799304,0.0,6,2,0.08333333333333333,43
"Kedar, Shuddha Sarang",3,D#,3200,215.26758792714028,0.33577155718103785,0.8326065550710362,0.1673934449289638,0.302097687949011,0.0,7,1,0.16666666666666666,44
Ramkali,2,D,537,212.8922344029107,0.5418483612322402,0.9478126318750877,0.052187368124912314,0.26747647969445004,0.0,9,1,0.3333333333333333,45
"“Bhatiyar, Shuddha Basant",2,D,537,208.88992950424065,0.5418483612322402,0.8793079195386128,0.12069208046138724,0.2791622007852862,0.0,8,0,0.25,46
Jogeshwari,10,A#,512,206.31380151971192,0.33577155718103785,0.9001266000843994,0.09987339991560062,0.3810289389057849,0.0,6,2,0.08333333333333333,47
"Bahar, Lanka Dahan Sarang, Miyan ki Malhar, Sindhura",3,D#,3200,202.11330517820718,0.33577155718103785,0.8117878745252495,0.18821212547475052,0.25772597356133214,0.0,8,0,0.25,48
Bairagi,2,D,537,196.57866982424275,0.5418483612322402,0.8667885778590513,0.13321142214094872,0.44030010718001805,0.05368327624066127,5,3,0.0,49
Madhuvanti,3,D#,3200,191.99656875536226,0.33577155718103785,0.8179772119848077,0.18202278801519234,0.2967896697792699,0.0,7,1,0.16666666666666666,50
“Megh Malhar”,3,D#,3200,182.7849638941137,0.33577155718103785,0.7995498663665774,0.20045013363342257,0.25384065737699046,0.0,8,0,0.25,51
Ahir Bhairav,2,D,537,180.5191896481743,0.5418483612322402,0.8735405823603879,0.1264594176396121,0.31694993109703634,0.0,7,1,0.16666666666666666,52
Parameshwari,2,D,537,180.37081878061042,0.5418483612322402,0.8833872555915032,0.11661274440849678,0.37394307490675566,0.0,6,2,0.08333333333333333,53
Surdasi Malhar,3,D#,3200,178.57098077164397,0.33577155718103785,0.8095372063581372,0.1904627936418628,0.2937273516044194,0.0,7,1,0.16666666666666666,54
Pilu,10,A#,512,173.21474066013775,0.33577155718103785,0.9886059924039947,0.011394007596005284,0.2510896748832496,0.0,10,2,0.4166666666666667,55
Patdeep,3,D#,3200,173.2007455781566,0.33577155718103785,0.806161204107469,0.19383879589253095,0.2925024243344791,0.0,7,1,0.16666666666666666,56
Kirwani,3,D#,3200,153.73364300176507,0.33577155718103785,0.7939231959487969,0.2060768040512031,0.2880620629809458,0.0,7,1,0.16666666666666666,57
Sarang,3,D#,3200,134.76247101605932,0.33577155718103785,0.7927978618652407,0.2072021381347593,0.33559604620612654,0.0,6,2,0.08333333333333333,58
"Multani, Todi",3,D#,3200,118.60335444436899,0.33577155718103785,0.7718385145590093,0.22816148544099069,0.28004899709008674,0.0,7,1,0.16666666666666666,59
Poorvi,10,A#,512,102.64629423228271,0.33577155718103785,0.8126318750879166,0.18736812491208343,0.25799392640163155,0.0,8,0,0.25,60
Dev Gandhar,10,A#,512,101.31330517820724,0.33577155718103785,0.8117878745252495,0.18821212547475052,0.25772597356133214,0.0,8,0,0.25,61
"Multani, Todi",2,D,537,97.7280637485784,0.42242228161485396,0.8214938809959205,0.17850611900407953,0.2980656356854577,0.0,7,1,0.16666666666666666,62
Nat Bhairav,10,A#,512,91.19656875536236,0.33577155718103785,0.8179772119848077,0.18202278801519234,0.29678966977926996,0.0,7,1,0.16666666666666666,63
Bhupali Todi,2,D,537,80.05475958380583,0.42242228161485396,0.7989871993247991,0.2010128006752009,0.4058592354401984,0.04747165173655754,5,3,0.0,64
