track_name,vocals_median_pitch_hz,accompaniment_median_pitch_hz
Bihag_6,131.31,165.28
Bihag_7,167.95,92.93
Bihag_8,147.37,74.855
Bihag_9,227.28,85.5
Bihagda_1,233.42,155.84
Bihagda_2,293.03,232.95
Bihagda_3,295.05,94.34
Bihagda_4,260.39,93.05
Bihagda_5,207.81,85.245
Bihagda_6,350.09,90.51
Bihagda_7,335.73,128.99
Bihagda_8,196.24,78.5
Bihagda_9,193.82,156.06
Bihari_1,220.05,91.44
Bihari_2,246.86,220.07
Bihari_3,261.16,232.8
Bihari_4,287.745,235.09
Bihari_5,147.37,72.81
Bihari_6,230.12,108.18
Bihari_7,175.0,78.51
Bihari_8,327.5,247.71
Bilaskhani Todi_1,197.36,131.74
Bilaskhani Todi_10,236.57,224.08
Bilaskhani Todi_2,152.335,108.49
Bilaskhani Todi_3,159.08,148.39
Bilaskhani Todi_4,181.87,117.7
Bilaskhani Todi_5,172.73,100.73
Bilaskhani Todi_6,246.76,117.2
Bilaskhani Todi_7,224.83,83.42
Bilaskhani Todi_8,147.5,139.49
Bilaskhani Todi_9,165.26,85.82
Bilawal_1,199.75,137.28
Bilawal_2,175.0,93.23
Bilawal_3,436.7,333.66
Bilawal_4,207.69,82.99
Bilawal_5,341.36,84.76
Bilawal_6,281.58,343.01
Champakali_Vachaspati_1,197.68,102.82
Champakali_Vachaspati_10,413.2,293.03
Champakali_Vachaspati_2,463.32,92.92
Champakali_Vachaspati_3,156.03,156.06
Champakali_Vachaspati_4,271.81,72.74
Champakali_Vachaspati_5,368.53,437.44
Champakali_Vachaspati_6,207.17,437.53
Champakali_Vachaspati_7,324.73,119.1
Champakali_Vachaspati_8,185.155,136.06
Champakali_Vachaspati_9,298.56,117.18
Chandrakauns_1,338.68,120.96
Chandrakauns_10,354.345,279.09
Chandrakauns_11,150.72,99.85
Chandrakauns_12,438.02,87.97
Chandrakauns_13,115.22,121.96
Chandrakauns_14,154.14999999999998,131.42
Chandrakauns_15,196.63,93.69
Chandrakauns_2,338.87,110.67
Chandrakauns_3,437.62,91.05
Chandrakauns_4,165.235,185.32
Chandrakauns_5,147.42,96.68
Chandrakauns_6,361.79,95.42
Chandrakauns_7,341.47,85.45
Chandrakauns_8,277.79,233.09
Chandrakauns_9,294.97,83.51
Chandranandan_1,207.735,232.22
Chandranandan_2,303.59,95.46000000000001
Chandranandan_3,370.56,293.0
Chandranandan_4,293.65,266.25
Chandranandan_5,247.77,85.81
Chandranandan_6,239.74,233.03
Charukeshi_1,295.59000000000003,87.82499999999999
Charukeshi_10,183.87,98.73
Charukeshi_2,145.76,144.57
Charukeshi_3,183.08,98.85
Charukeshi_4,271.46,266.65
Charukeshi_5,348.61,233.03
Charukeshi_6,352.91,275.435
Charukeshi_7,207.01,104.3
Charukeshi_8,377.92999999999995,83.58
Charukeshi_9,426.585,266.36
Chhayanat_1,183.565,84.6
Chhayanat_2,185.225,156.06
Chhayanat_3,341.08,134.05
Chhayanat_4,196.25,79.14
Chhayanat_5,203.91,99.39
Chhayanat_6,185.225,156.06
Chhayanat_7,259.08,83.15
Chhayanat_8,190.6,92.56
Chhayanat_9,242.425,108.58
Darbari Kanada_1,165.27,92.545
Darbari Kanada_10,161.91,92.38
Darbari Kanada_2,141.89,124.11
Darbari Kanada_3,154.49,276.41
Darbari Kanada_4,155.59,92.78
Darbari Kanada_5,155.74,111.21
Darbari Kanada_6,164.8,88.05
Darbari Kanada_7,156.09,118.14
Darbari Kanada_8,156.99,156.19
Darbari Kanada_9,139.14,139.17
Desh_1,185.31,104.62
Desh_10,276.125,87.75
Desh_2,206.28,100.23
Desh_3,147.89,131.43
Desh_4,229.15,95.89
Desh_5,347.97,117.25
Desh_6,203.88,96.73
Desh_7,217.56,100.07
Desh_8,199.67,100.59
Desh_9,191.8,104.52
Deshkar_1,230.84,78.52
Deshkar_10,230.76,139.18
Deshkar_2,357.87,92.92
Deshkar_3,225.525,84.73
Deshkar_4,347.92,105.58
Deshkar_5,276.88,139.16
Deshkar_6,369.43,123.84
Deshkar_7,279.37,100.84
Deshkar_8,227.98,437.51
Deshkar_9,224.31,112.96
Desi_1,175.06,92.57
Desi_2,183.5,156.77
Desi_3,225.96,175.0
Desi_4,246.42,219.71
Desi_5,175.04,78.55
Desi_6,328.75,162.12
Desi_7,257.45,112.86
Desi_8,178.755,158.95
Desi_9,156.09,156.18
Dev Gandhar_1,207.97,100.96
Dev Gandhar_2,229.525,345.115
Dev Gandhar_3,310.3,233.01
Dev Gandhar_4,331.5,328.67
Dev Gandhar_5,207.81,101.88
